name,address
미소약국,"서울특별시 광진구 면목로 126, (중곡동)"
덕성온누리약국,"서울특별시 성북구 아리랑로 89, 102호 (돈암동, 일신건영휴먼빌 상가 )"
실로암약국,"서울특별시 성동구 용답중앙15길 11, (용답동)"
햇살약국,"서울특별시 구로구 경인로67길 23, (신도림동,대우푸르지오2차 101동 311호)"
대림우리약국,"서울특별시 구로구 도림로 92, (구로동)"
은행나무약국,"서울특별시 금천구 금하로 705, 2층 (시흥동)"
중앙명성약국,"서울특별시 동작구 흑석로 106-7, (흑석동)"
이화태평양약국,"서울특별시 도봉구 덕릉로 239, (창동)"
목동파라곤약국,"서울특별시 양천구 목동서로 155, 목동파라곤 지하1층 7호 (목동)"
새암온누리약국,"서울특별시 강북구 도봉로 308, 1층 (번동)"
압구정예주약국,"서울특별시 강남구 압구정로29길 65, 442빌딩 지하1층 (압구정동)"
그랜드온누리약국,"서울특별시 동대문구 장한로 14, (장안동)"
알파약국,"서울특별시 송파구 올림픽로 289, 잠실시그마타워 지하1층 비101-3호 (신천동)"
편한약국,"서울특별시 용산구 서빙고로 17, 용산센트럴파크 해링턴스퀘어 1층 47호 (한강로3가)"
엔씨(NC)약국,"서울특별시 강서구 강서로56길 17, 지하1층 (등촌동)"
올리브약국,"서울특별시 은평구 응암로 308, (응암동)"
신세명약국,"서울특별시 동작구 서달로 163, (흑석동)"
행복이열리는약국,"서울특별시 성동구 독서당로 299-2, 1층 (금호동3가)"
수정약국,"서울특별시 영등포구 영등포로36길 16, (영등포동4가)"
은평오렌지약국,"서울특별시 은평구 진관2로 29-21, 113,114호 (진관동, 드림스퀘어)"
피플팜문래약국,"서울특별시 영등포구  당산로 34-0, (문래동3가)"
아이메디칼약국,"서울특별시 성북구 동소문로46길 18, 101호, 102호 (하월곡동, 삼전솔하임3차)"
뉴욕약국,"서울특별시 강남구 테헤란로 107, 1층 (역삼동)"
행복약국,"서울특별시 영등포구 양평로 127, (양평동5가)"
메디칼우리약국,"서울특별시 노원구 동일로 1044, 1층 (공릉동)"
드림약국,"서울특별시 노원구 동일로 1677, 1층 (상계동, 제성빌딩)"
라임약국,"서울특별시 동작구 여의대방로 142, (대방동)"
양재뿌리약국,"서울특별시 서초구 남부순환로 2585, 25호 (서초동, 양재역)"
햇님약국,"서울특별시 광진구 천호대로111길 19, (중곡동)"
여의도플러스약국,"서울특별시 영등포구 여의공원로 101, C.C.M.M빌딩 B117호 (여의도동)"
이화메디약국,"서울특별시 영등포구 당산로 122, 우미빌딩 1층 102호 (당산동3가)"
이소약국,"서울특별시 강서구 강서로 242, 상가동 4층 17호 (화곡동, 강서힐스테이트)"
더참사랑약국,"서울특별시 광진구 아차산로 361, 1층 (자양동)"
곰돌이스타약국,"서울특별시 서초구 방배로 226, 3층 303호 (방배동)"
밝은마음약국,"서울특별시 강남구 논현로 841, 제이비 미소빌딩 110호 (신사동)"
망원그랜드약국,"서울특별시 마포구 월드컵로 79, 유용빌딩 1층 (망원동)"
나음온누리약국,"서울특별시 강동구 올림픽로 620, 예투빌딩 1층 (성내동)"
새빛약국,"서울특별시 노원구 동일로 1405, 국민은행노원지점 1층 (상계동)"
고덕3층약국,"서울특별시 강동구 고덕로 266, 고덕역 대명벨리온 312호 (명일동)"
보라매서울약국,"서울특별시 동작구 보라매로5길 15, 전문건설회관빌딩 지하1층 C-5호 (신대방동)"
해든우리약국,"서울특별시 서대문구 충정로 70, 웨스트게이트타워 2층 (미근동)"
중계상록수약국,"서울특별시 노원구 중계로 218, 원광빌딩 1층 102호 (중계동)"
아크로약국,"서울특별시 마포구 마포대로 68, 210-2호 (도화동, 마포아크로타워)"
성모약국,"서울특별시 동대문구 왕산로 193, 1층 102호 (청량리동)"
헤르바당산역약국,"서울특별시 영등포구 양평로 40, 당산역 지하1층 (당산동6가)"
세로수길약국,"서울특별시 강남구 강남대로152길 46, 1층 (신사동)"
봄봄약국,"서울특별시 강북구 도봉로 323, 용신빌딩 102호 (수유동)"
천호바로약국,"서울특별시 강동구 올림픽로 654, 삼영빌딩 1층 (천호동)"
복조리약국,"서울특별시 강동구 천호대로187길 61, 1층 (길동)"
송화약국,"서울특별시 강서구 강서로 251, 세란빌딩 1층 3호 (내발산동)"
다온약국,"서울특별시 강동구 천호옛길 98, (성내동)"
연세희망약국,"서울특별시 은평구 연서로 175, (갈현동)"
석계태평양약국,"서울특별시 노원구 화랑로 321, (월계동, 1층)"
종로수약국,"서울특별시 관악구 보라매로 4, 1층 (봉천동)"
신림4번출구약국,"서울특별시 관악구 남부순환로 1604, 1층 (신림동)"
서안약국,"서울특별시 용산구 효창원로 142, (효창동, 중앙병원)"
늘봄약국,"서울특별시 강남구 논현로159길 17, 101호 (신사동)"
오늘의약국,"서울특별시 노원구 동일로 1000, 1층 102호 (공릉동)"
더나은약국,"서울특별시 영등포구 당산로 83, 1층 105-1호 (당산동2가, 한화포레나당산)"
학동역약국,"서울특별시 강남구 학동로 180, 학동역 210호 (논현동)"
바다약국,"서울특별시 동대문구 왕산로 189-1, (청량리동)"
개포종로온누리약국,"서울특별시 강남구 선릉로 42, 1층 (개포동)"
크리스마스약국,"서울특별시 송파구 올림픽로 119, 잠실파인애플상가 2층 2A02호 (잠실동)"
조은약국,"서울특별시 송파구 백제고분로50길 31, 1층 (방이동)"
클래시안약국,"서울특별시 영등포구 신길로28길 9, B1층 1호 (신길동, 힐스테이트 클래시안)"
조은온누리약국,"서울특별시 강남구 개포로 615, 석탑프라자 3층 304호 (개포동)"
